iter	RMSE
0	66.54789189
1	64.98913046
2	63.526647
3	62.13663644
4	60.74398008
5	59.47221383
6	58.21871904
7	57.00077651
8	55.77404544
9	54.6509953
10	53.51672268
11	52.43637345
12	51.41946243
13	50.41099993
14	49.41837557
15	48.46039408
16	47.5452318
17	46.66008436
18	45.83150767
19	45.0996232
20	44.31636656
21	43.56685874
22	42.83615716
23	42.19487082
24	41.54382528
25	40.92673113
26	40.32934911
27	39.79563172
28	39.24168208
29	38.75071917
30	38.31955607
31	37.82508988
32	37.32815464
33	36.90882346
34	36.50831271
35	36.07461681
36	35.7262357
37	35.32645071
38	34.95424622
39	34.58874058
40	34.25564557
41	33.93623741
42	33.62671322
43	33.34686478
44	33.0690763
45	32.80391084
46	32.53225837
47	32.27107655
48	32.02320006
49	31.79665386
50	31.59751842
51	31.36962799
52	31.1791752
53	30.99432939
54	30.79754349
55	30.60543598
56	30.44650866
57	30.2583421
58	30.1133844
59	29.97927807
60	29.83135102
61	29.66770338
62	29.53057791
63	29.40206651
64	29.27462332
65	29.15951418
66	29.0437279
67	28.94661049
68	28.82225189
69	28.7231642
70	28.63771459
71	28.52454821
72	28.43555888
73	28.34160566
74	28.26012961
75	28.17339098
76	28.08865943
77	28.00950411
78	27.94234874
79	27.8462635
80	27.77200187
81	27.71875007
82	27.65787524
83	27.60405352
84	27.51805727
85	27.4639965
86	27.42274163
87	27.36994422
88	27.28210269
89	27.22785431
90	27.16773492
91	27.13161303
92	27.08332418
93	27.03993669
94	26.97042698
95	26.93658987
96	26.89345088
97	26.85751692
98	26.81423399
99	26.78773661
100	26.74280456
101	26.72817275
102	26.70441565
103	26.67754416
104	26.65454458
105	26.59747303
106	26.57641666
107	26.55183605
108	26.51123924
109	26.47853357
110	26.45575565
111	26.40167413
112	26.38008917
113	26.36610518
114	26.33790081
115	26.30954594
116	26.28567194
117	26.24409144
118	26.2008526
119	26.15926483
120	26.13235485
121	26.11705102
122	26.10078903
123	26.08533697
124	26.06519784
125	26.04063156
126	26.01734708
127	25.99766971
128	25.96448966
129	25.95017019
130	25.93584144
131	25.91774656
132	25.88786449
133	25.8710089
134	25.85457143
135	25.84521863
136	25.82785757
137	25.79788825
138	25.77916075
139	25.75990311
140	25.74648226
141	25.73338426
142	25.72020469
143	25.6945659
144	25.67706325
145	25.65786216
146	25.64115815
147	25.6239321
148	25.60829814
149	25.60147044
150	25.57996174
151	25.56891717
152	25.56319477
153	25.55798245
154	25.54602647
155	25.53652822
156	25.52802498
157	25.5204015
158	25.51015376
159	25.49456802
160	25.48760202
161	25.47439519
162	25.47104441
163	25.46392898
164	25.45427859
165	25.44711884
166	25.43891776
167	25.42525218
168	25.41609107
169	25.39852784
170	25.37972007
171	25.37403373
172	25.3672257
173	25.35693791
174	25.339235
175	25.33349351
176	25.32840485
177	25.32041887
178	25.31963833
179	25.31487778
180	25.30562101
181	25.29588391
182	25.28801095
183	25.28514883
184	25.28191112
185	25.27051953
186	25.26315117
187	25.25504791
188	25.23895267
189	25.22810749
190	25.21982763
191	25.21704756
192	25.2111565
193	25.20679941
194	25.19768774
195	25.18980584
196	25.17775615
197	25.17097855
198	25.1624379
199	25.15738488
200	25.15363112
201	25.14321586
202	25.13985409
