iter	RMSE
203	25.12914724
204	25.12502354
205	25.11728954
206	25.10748039
207	25.09735867
208	25.08723372
209	25.07646378
210	25.06720545
211	25.05602704
212	25.0459479
213	25.03767992
214	25.02824957
215	25.02492789
216	25.01874439
217	25.00749465
218	24.99882858
219	24.99335047
220	24.98434652
221	24.97601578
222	24.96754123
223	24.95777181
224	24.94966612
225	24.94513323
226	24.93670722
227	24.93249248
228	24.92930339
229	24.91890978
230	24.91173475
231	24.90697126
232	24.90064322
233	24.89294341
234	24.88828195
235	24.88230756
236	24.87501006
237	24.86561553
238	24.8597119
239	24.85376529
240	24.84401941
241	24.84054899
242	24.83358805
243	24.82836487
244	24.81967866
245	24.81311754
246	24.81021397
247	24.80385563
248	24.792552
249	24.78916741
250	24.78479335
251	24.77434909
252	24.76782826
253	24.76624177
254	24.76085641
255	24.75675932
256	24.75037889
257	24.74525806
258	24.74105388
259	24.73239636
260	24.72647053
261	24.72158086
262	24.71507266
263	24.70852976
264	24.70325225
265	24.69504245
266	24.69010852
267	24.6804006
268	24.67712037
269	24.67274723
270	24.66491203
271	24.66236628
272	24.6521772
273	24.6481299
274	24.64308363
275	24.63509028
276	24.63150094
277	24.62687543
278	24.62220021
279	24.61779612
280	24.61029204
281	24.60026496
282	24.59741901
283	24.59358807
284	24.59012606
285	24.58430833
286	24.57788885
287	24.5748165
288	24.5690906
289	24.56385932
290	24.55508572
291	24.55215044
292	24.54334117
293	24.53585255
294	24.52885076
295	24.52175094
296	24.51855218
297	24.51254412
298	24.50627504
299	24.49969845
300	24.48938422
301	24.48042822
302	24.47168691
303	24.46650296
304	24.46033219
305	24.45462523
306	24.45110216
307	24.44378894
308	24.44067444
309	24.43554072
310	24.42737044
311	24.41979965
312	24.41433281
313	24.40621247
314	24.39878776
315	24.39189475
316	24.38600808
317	24.38171597
318	24.37251084
319	24.36644951
320	24.36329349
321	24.35726202
322	24.34949912
323	24.33825899
324	24.33196572
325	24.32240689
326	24.31315601
327	24.30707899
328	24.30284494
329	24.29695738
330	24.28635965
331	24.28169205
332	24.27404765
333	24.26921703
334	24.26520914
335	24.25588896
336	24.24802691
337	24.24209661
338	24.23832379
339	24.23214798
340	24.22730825
341	24.22029446
342	24.21460513
343	24.21079413
344	24.20267062
345	24.1928039
346	24.18572963
347	24.17655626
348	24.17165087
349	24.16420993
350	24.15909866
351	24.15228145
352	24.14768228
353	24.1404464
354	24.13607419
355	24.13315633
356	24.12556238
357	24.12183573
358	24.11338842
359	24.11070219
360	24.10187685
361	24.0948125
362	24.0899313
363	24.08361481
364	24.07951019
365	24.07122513
366	24.0632497
367	24.05920689
368	24.05216288
369	24.04728706
370	24.04310155
371	24.03847522
372	24.03083329
373	24.02459698
374	24.01746808
375	24.01323171
376	24.00406892
377	23.99947242
378	23.99446204
379	23.99044543
380	23.98652806
381	23.97750464
382	23.97028681
383	23.96348687
384	23.95958353
385	23.95526486
386	23.94734014
387	23.93973206
388	23.93403225
389	23.93025949
390	23.92186335
391	23.91433599
392	23.90962526
393	23.90363798
394	23.90030253
395	23.89793221
396	23.89251485
397	23.88943098
398	23.88667692
399	23.88130784
400	23.87678676
401	23.8699414
402	23.86306488
403	23.85963025
404	23.85313586
405	23.84688324
406	23.84206139
407	23.83778317
408	23.83400281
409	23.83052711
410	23.82319451
411	23.81683591
412	23.80980094
413	23.80322496
414	23.7994043
415	23.79302721
416	23.78675605
417	23.78313968
418	23.77759099
419	23.77405644
420	23.76791508
421	23.76148249
422	23.75564262
423	23.74931246
424	23.74481369
425	23.73831033
426	23.73106131
427	23.72744617
428	23.72183115
429	23.71667065
430	23.71369234
431	23.71035746
432	23.70814556
433	23.70249547
434	23.69651324
435	23.6902336
436	23.68601448
437	23.68216362
438	23.67887157
439	23.67059059
440	23.66422686
441	23.65836779
442	23.6511708
443	23.64579455
444	23.64215242
445	23.63821507
446	23.63202404
447	23.62638348
448	23.62102711
449	23.61785851
450	23.61429118
451	23.61119403
452	23.60833956
453	23.60489784
454	23.59928454
455	23.59388283
456	23.58725062
457	23.58446102
458	23.58016192
459	23.57659236
460	23.57172283
461	23.56845961
462	23.56331336
463	23.55583313
464	23.54939219
465	23.54389599
466	23.5388417
467	23.53580793
468	23.53280214
469	23.52719362
470	23.52322272
471	23.51819894
472	23.51200218
473	23.50941159
474	23.50198848
475	23.49667079
476	23.49319005
477	23.48717079
478	23.48186788
479	23.47485043
480	23.47017551
481	23.46463834
482	23.45707303
483	23.45199871
484	23.44644158
485	23.44262028
486	23.43883328
487	23.43209258
488	23.42629264
489	23.42284205
490	23.41913667
491	23.41736738
492	23.41123266
493	23.40468389
494	23.40071894
495	23.39696346
496	23.39313506
497	23.38827066
498	23.38489535
499	23.38273835
